hexID,t.count,t.pos,t.neg,t.neu,i.count,i.pos,i.neg,i.neu,t.norm,i.norm,odds
262,37,17.8971742424242,8.82841666666667,10.2720378787879,66,32.0083,7.521,20.4722,0.245101556101556,0.371019696969697,0.559141667705696
263,43,21.8081476190476,8.41088095238095,12.7890428571429,169,81.7507666666667,22.1400166666667,56.1084666666667,0.311564341085271,0.352726331360947,0.266763829970781
264,367,200.081637301587,51.4104198412698,109.528385714286,796,423.022644413919,83.9250212454212,226.083258470696,0.405098685177977,0.426002039156405,0.472980914718625
265,55,28.3601666666667,11.61375,15.0323333333333,111,56.2589621212121,16.4536159090909,28.2917795454545,0.304480303030303,0.358606722631723,0.504100424134444
266,50,24.9070555555556,9.17861111111111,14.9142777777778,6,3.1045,0.6335,1.264,0.314568888888889,0.411833333333333,8.0228879225497
267,1204,661.992156349206,199.709165873016,334.367154761905,1,0,0,0,0.383955972156304,0,0
268,954,490.302787035187,204.008861580087,249.732049370074,517,284.519711904762,58.4964642857143,142.954123809524,0.300098454355451,0.437182297135489,1.72326473885685
269,1956,1021.03351553818,386.885270382211,525.179900894594,2813,1540.27749517417,343.841757585251,763.960482240323,0.324206669302641,0.425323760252016,0.662889329187219
270,786,419.516020787546,130.353496825397,227.193851831502,1735,940.20648474026,210.71601038961,503.076160064935,0.36789125186024,0.420455604813054,0.446195625744318
271,141,75.1901547619048,23.0755666666667,41.7403404761905,439,243.25241965812,45.6211453601954,126.146197802198,0.369607007767646,0.450185135074998,0.309103419680598
272,111,60.0917476190476,18.6679904761905,31.2427571428571,26,14.9904666666667,3.53213333333333,6.47803333333333,0.373187001287001,0.440705128205128,4.00866423676254
273,427,227.871477777778,75.3297277777778,118.829688888889,1658,913.392600722815,187.058414875914,463.62389453748,0.357240632318501,0.438078519811159,0.249478129774044
274,535,292.280364718615,80.0072961760462,154.724287680375,2911,1564.08160829471,310.77303696068,853.081421010352,0.396772090733773,0.430542278026118,0.186870277847767
275,356,198.617030555556,59.7628388888889,94.6393027777778,438,235.577771428571,42.9977785714286,122.445078571429,0.39003986423221,0.439680348988911,0.843105991499616
276,1510,816.901464141414,247.2440748557,421.880846572872,4172,2306.96121859067,485.689148015873,1144.48577198172,0.377256549195837,0.436546517395684,0.354102816102155
277,2407,1268.63832616273,440.099839185814,676.392767754468,5215,2928.25941516955,573.019666090854,1433.84227428544,0.34422039342622,0.451627948049607,0.433239732651647
278,3090,1599.27996525974,627.624022943723,836.176224422799,5130,2778.18990577016,579.082138582851,1468.87696001843,0.31445176126732,0.428675978009222,0.575655379762959
